codigo;codigo_anterior;uf;lat;lon;responsavel;regime;enquadramento;corpo_hidrico;contagem;media;minimo;maximo;data_inicial;data_final;desvio_padrao;variancia;periodo_anos;frequencia_ano
JUZI 02400;;SP;-23,22944444;-46,62888889;CETESB;lotico;2;Rio Jundiazinho;49;5,95918367346939;3;28;2010-01-26;2018-01-09;5,19197772077859;26,9566326530612;7,9589315068493151;6,1566053128904892
KERA 04990;;SP;-23,48055556;-46,44027778;CETESB;lotico;4;Ribeirão Itaquera;55;67,1636363636364;7;230;2009-01-07;2018-01-17;42,4415779877179;1801,28754208754;9,0329041095890411;6,0888502006363341
LAGE 02500;;SP;-21,43611111;-50,05638889;CETESB;lotico;2;Ribeirão Lageado;71;2,1830985915493;1;6;2001-06-11;2018-01-04;0,661380788414437;0,437424547283702;16,5781095890410959;4,2827561018739020
LAPE 04900;;SP;-22,90333333;-46,54722222;CETESB;lotico;4;Ribeirão Lavapés - UGRHI 5;73;16,0821917808219;2;81;2004-07-19;2016-07-25;13,1600758025695;173,187595129376;12,0246849315068493;6,0708451336406160
LARO 02500;;SP;-22,40916667;-47,54027778;CETESB;lotico;2;Rio Claro - UGRHI 05;49;2,20408163265306;2;5;2010-01-20;2018-01-10;0,576613382776778;0,332482993197279;7,9781095890410959;6,1418058317107427
LARO 02900;;SP;-22,47944444;-47,58638889;CETESB;lotico;2;Rio Claro - UGRHI 05;77;8,33766233766234;2;53;2005-05-03;2018-01-10;8,20078685186654;67,2529049897471;12,6986575342465753;6,0636330881702521
LENS 02500;;SP;-22,59694444;-48,80388889;CETESB;lotico;2;Rio Lençóis;71;2,23943661971831;1;9;2001-06-04;2018-01-22;0,901820202739111;0,813279678068411;16,6466027397260274;4,2651345208450941
LENS 03950;;SP;-22,50444444;-48,62222222;CETESB;lotico;3;Rio Lençóis;57;4,2280701754386;2;10;2008-10-28;2018-01-22;1,6798973593183;2,82205513784461;9,2411232876712329;6,1680813279533710
MADE 21700;;SP;-24,99388889;-47,94666667;CETESB;lentico;1;Mar de Dentro;59;5,54237288135593;2;21;2008-01-03;2018-01-16;3,00758829892052;9,04558737580362;10,0438630136986301;5,8742338400604472
MARE 02900;;SP;-23,79333333;-45,555;CETESB;lotico;2;Rio Maresias;71;3,17746478873239;1;12;2004-05-04;2018-01-17;1,96004352598162;3,84177062374246;13,7150958904109589;5,1767775134288585
MARI 04250;;SP;-20,2925;-50,07972222;CETESB;lotico;4;Ribeirão do Marinheiro;31;6,41935483870968;2;46;2013-01-28;2018-01-16;7,80074438135399;60,8516129032258;4,9698904109589041;6,2375620862068015
MARO 22800;;SP;-23,98222222;-46,26833333;CETESB;lotico;2;Rio Santo Amaro;30;10,2;5;22;2013-01-15;2018-01-17;5,30711948625422;28,1655172413793;5,0082465753424658;5,9901204041553383
MATA 04900;;SP;-20,73111111;-48,92055556;CETESB;lotico;4;Córrego Matadouro - UGRHI 15;16;6,5;2;21;2015-07-22;2018-01-10;6,30343821523883;39,7333333333333;2,4740000000000000;6,4672594987873888
MEIO 02900;;SP;-22,09722222;-47,27027778;CETESB;lotico;2;Ribeirão do Meio;94;9,5;2;121;2002-11-28;2017-12-05;14,5334245829236;211,220430107527;15,0301643835616438;6,2540899487970310
MOCA 02990;;SP;-22,37833333;-46,89972222;CETESB;lentico;2;Reservatório Cachoeira de Cima;112;2,29464285714286;1;9;2001-02-20;2017-12-05;0,88672281394884;0,786277348777349;16,8000273972602740;6,6666557947557163
MOCO 02900;;SP;-23,56972222;-45,29611111;CETESB;lotico;2;Rio Mocooca;28;3;3;3;2013-07-24;2018-01-17;0;0;4,4876986301369863;6,2392781484850520
MOGU 02100;;SP;-22,26583333;-46,69194444;CETESB;lotico;2;Rio Mogi-Guaçu;100;2,37;2;12;2001-02-06;2017-12-04;1,14287427837082;1,30616161616162;16,8356438356164384;5,9397787798555250
MOGU 02160;;SP;-22,36361111;-46,96972222;CETESB;lotico;2;Rio Mogi-Guaçu;114;2,37719298245614;1;10;2001-02-22;2017-12-07;1,06754495358037;1,13965222791492;16,8000273972602740;6,7857032196620684
MOGU 02200;;SP;-22,29888889;-47,13222222;CETESB;lotico;2;Rio Mogi-Guaçu;267;2,66292134831461;1;11;1978-01-01;2017-12-06;1,58430141782189;2,51001098251246;39,9561917808219178;6,6823185118496216
MOGU 02210;;SP;-22,28916667;-47,18527778;CETESB;lotico;2;Rio Mogi-Guaçu;114;3,21052631578947;2;21;2001-02-22;2017-12-06;2,45841046642444;6,04378202142524;16,7972876712328767;6,7868100035720053
MOGU 02250;;SP;-22,09638889;-47,25527778;CETESB;lotico;2;Rio Mogi-Guaçu;113;2,92035398230089;1;13;2001-02-22;2017-12-05;2,01840457204072;4,07395701643489;16,7945479452054795;6,7283740157030739
MOGU 02260;;SP;-22,09638889;-47,25527778;CETESB;lotico;2;Rio Mogi-Guaçu;108;3,22222222222222;1;24;2001-02-20;2016-12-05;2,56625598526949;6,58566978193146;15,8000273972602740;6,8354311853109323
MOGU 02300;;SP;-21,94166667;-47,31972222;CETESB;lotico;2;Rio Mogi-Guaçu;298;2,38255033557047;1;20;1978-01-01;2017-12-11;1,91783167206448;3,67807832237362;39,9698904109589041;7,4556121354361948
MOGU 02350;;SP;-21,92555556;-47,36833333;CETESB;lotico;2;Rio Mogi-Guaçu;110;2,46363636363636;2;8;2001-02-21;2017-12-11;1,06381063990009;1,13169307756464;16,8137260273972603;6,5422738434514527
MOGU 02450;;SP;-21,84361111;-47,49472222;CETESB;lotico;2;Rio Mogi-Guaçu;112;2,96428571428571;1;23;2001-02-21;2017-12-11;2,41962163458853;5,85456885456885;16,8137260273972603;6,6612242769687519
MOGU 02490;;SP;-21,72416667;-47,63916667;CETESB;lotico;2;Rio Mogi-Guaçu;113;2,58407079646018;1;11;2001-02-21;2017-12-12;1,44991171970679;2,10224399494311;16,8164657534246575;6,7196045623907423
MOGU 02800;;SP;-21,20222222;-48,17138889;CETESB;lotico;2;Rio Mogi-Guaçu;48;2,1875;2;10;2010-03-16;2017-12-05;1,16063537258051;1,34707446808511;7,7287945205479452;6,2105416145281300
MOGU 02900;;SP;-21,01222222;-48,17222222;CETESB;lotico;2;Rio Mogi-Guaçu;268;1,94776119402985;1;12;1978-01-01;2017-12-04;1,22897091129553;1,51036950081055;39,9507123287671233;6,7082658700686668
MOIN 02600;;SP;-20,99888889;-51,42194444;CETESB;lotico;2;Ribeirão do Moinho;31;7,61290322580645;2;34;2013-02-21;2018-01-04;7,56605321751853;57,2451612903226;4,8712602739726027;6,3638562212810952
MOJI 02800;;SP;-23,85222222;-46,37805556;CETESB;lotico;2;Rio Moji;321;3,58566978193146;1;31;1978-01-01;2018-01-10;4,09034460689014;16,7309190031153;40,0520821917808219;8,0145645977395186
MOMI 03800;;SP;-22,39444444;-46,97194444;CETESB;lotico;3;Rio Mogi Mirim;94;22,2021276595745;2;93;2002-11-28;2017-12-07;20,8190255146915;433,431823381377;15,0356438356164384;6,2518107656509372
MONJ 04400;;SP;-22,035;-47,9575;CETESB;lotico;4;Rio Monjolinho;42;16,1904761904762;4;148;2011-01-26;2018-01-02;23,4814281520608;551,377468060395;6,9397534246575342;6,0520882270500314
MOVE 03500;;SP;-23,59694444;-46,85694444;CETESB;lotico;3;Ribeirão Moinho Velho;90;51,9222222222222;4;427;2003-01-07;2018-01-04;87,0339243916201;7574,90399500624;15,0027671232876712;5,9988933548331723
NAEM 02900;;SP;-24,18777778;-46,79333333;CETESB;lotico;2;Rio Itanhaém;74;7,18918918918919;1;73;2001-07-01;2018-01-31;9,87410571733673;97,4979637171418;16,5972876712328767;4,4585598241006535
NINO 04900;;SP;-23,6;-46,58;CETESB;lotico;4;Ribeirão dos Meninos;102;69,5490196078431;7;126;2001-03-14;2018-01-17;27,2319074103804;741,576781207532;16,8575616438356164;6,0506971384736901
NOVO 02450;;SP;-22,99833333;-48,84;CETESB;lotico;2;Rio Novo;49;2,51020408163265;2;19;2010-01-21;2018-04-05;2,54232873054404;6,46343537414966;8,2082465753424658;5,9696062429698165
NSRA 02900;;SP;-23,77666667;-45,3575;CETESB;lotico;2;Rio Nossa Senhora da Ajuda;71;3,2112676056338;1;14;2004-05-11;2018-01-10;1,89673021620853;3,59758551307847;13,6767397260273973;5,1912956905134405
NUMA 04900;;SP;-22,76555556;-47,1;CETESB;lotico;4;Ribeirão Anhumas;105;12,6952380952381;3;117;2000-02-07;2018-01-16;12,7227263417778;161,867765567766;17,9534520547945205;5,8484574264345698
OLHO 02690;;SP;-20,72861111;-48,91444444;CETESB;lotico;2;Córrego dos Olhos d Água;16;5,1875;2;30;2015-07-22;2018-01-10;6,83343495859391;46,6958333333333;2,4740000000000000;6,4672594987873888
ONCA 02500;;SP;-21,07805556;-48,79194444;CETESB;lotico;2;Ribeirão da Onça (UGRHI15);235;4,17446808510638;1;71;1981-01-06;2018-01-11;6,88918600395243;47,460883797054;37,0383835616438356;6,3447693285233164
OQUE 02900;;SP;-22,02722222;-47,30388889;CETESB;lotico;2;Ribeirão do Roque;95;2,62105263157895;2;11;2002-11-28;2017-12-12;1,52412477408763;2,32295632698768;15,0493424657534247;6,3125681548003735
ORIZ 02900;;SP;-22,28361111;-47,04361111;CETESB;lotico;2;Rio Oriçanga;93;4,60215053763441;2;30;2002-11-28;2017-12-06;3,94014948112554;15,5247779336138;15,0329041095890411;6,1864294032633438
PAÇU 02600;;SP;-24,65916667;-47,86972222;CETESB;lotico;2;Rio Pariquera-Açu;25;5,16;5;9;2014-01-29;2018-01-30;0,8;0,64;4,0055068493150685;6,2414073775145177
PADO 02400;;SP;-22,87861111;-49,23972222;CETESB;lotico;2;Rio Pardo - UGRHI 17;14;2;2;2;2016-02-16;2018-04-05;0;0;2,1342739726027397;6,5596077072181359
PADO 02500;;SP;-22,90416667;-49,61916667;CETESB;lotico;2;Rio Pardo - UGRHI 17;73;2,23287671232877;1;6;2001-06-04;2018-05-15;0,754993523614708;0,570015220700152;16,9561917808219178;4,3052119805914032
PADO 02600;;SP;-22,95388889;-49,86722222;CETESB;lotico;2;Rio Pardo - UGRHI 17;236;2,18220338983051;1;20;1981-01-08;2018-05-15;1,9009127194501;3,61346916696718;37,3726301369863014;6,3147816767233511
PALM 03800;;SP;-20,74444444;-48,41166667;CETESB;lotico;3;Ribeirão das Palmeiras;49;2,57142857142857;2;6;2010-01-25;2018-02-27;0,889756521002609;0,791666666666667;8,0959178082191781;6,0524329866904004
PALT 04970;;SP;-23,60083333;-48,12527778;CETESB;lotico;4;Ribeirão Ponte Alta;71;8,07042253521127;2;29;2006-08-30;2018-04-03;5,21350976834491;27,1806841046278;11,6000273972602740;6,1206751991610790
PARB 02050;;SP;-23,37555556;-45,88666667;CETESB;lotico;2;Rio Paraíba do Sul;96;2,528125;0,3;7;2004-10-20;2018-02-07;1,01148178171277;1,02309539473684;13,3096164383561644;7,2128299447716246
PARB 02100;;SP;-23,36805556;-45,89972222;CETESB;lotico;2;Rio Paraíba do Sul;294;1,74149659863946;0,2;8;1979-01-03;2018-02-07;1,03177130157789;1,06455201875972;39,1233150684931507;7,5147006199575490
PARB 02200;;SP;-23,31333333;-45,97222222;CETESB;lotico;2;Rio Paraíba do Sul;108;2,3537037037037;0,6;7;2000-02-16;2018-02-07;1,19675776372367;1,43222914503288;17,9890684931506849;6,0036460498841762
PARB 02300;;SP;-23,195;-45,93;CETESB;lotico;2;Rio Paraíba do Sul;257;2,12762645914397;0,6;6;1984-01-04;2018-02-07;1,00664559797487;1,01333535992218;34,1178356164383562;7,5327169897077092
PARB 02310;;SP;-23,18777778;-45,91777778;CETESB;lotico;2;Rio Paraíba do Sul;162;2,25061728395062;0,5;10;1978-01-01;2018-02-07;1,35807897361729;1,8443784985814;40,1287945205479452;4,0370014084785905
PARB 02400;;SP;-23,07833333;-45,71083333;CETESB;lotico;2;Rio Paraíba do Sul;294;2,18979591836735;1;10;1979-01-03;2018-02-07;1,33658087012061;1,78644842237236;39,1233150684931507;7,5147006199575490
PARB 02490;;SP;-22,96111111;-45,55277778;CETESB;lotico;2;Rio Paraíba do Sul;170;2,38882352941176;0,2;12;1995-09-14;2018-02-07;1,41849316814786;2,01212286808215;22,4164657534246575;7,5837110929954865
PARB 02530;;SP;-22,91166667;-45,47027778;CETESB;lotico;2;Rio Paraíba do Sul;80;2,7825;0,6;10;2004-10-20;2018-02-07;1,48671543504805;2,21032278481013;13,3096164383561644;6,0106916206430205
PARB 02600;;SP;-22,84444444;-45,23444444;CETESB;lotico;2;Rio Paraíba do Sul;334;2,31287425149701;0,4;13;1978-01-01;2018-02-07;1,46204702511901;2,13758150365935;40,1287945205479452;8,3232004347645014
PARB 02700;;SP;-22,70333333;-45,11944444;CETESB;lotico;2;Rio Paraíba do Sul;154;2,51818181818182;0,9;11;1995-09-14;2018-02-07;1,43870196332496;2,0698633392751;22,4164657534246575;6,8699500489488524
PARB 02900;;SP;-22,54222222;-44,77388889;CETESB;lotico;2;Rio Paraíba do Sul;332;2,19518072289157;0,4;8;1978-01-01;2018-02-07;1,08796254761132;1,18366250500491;40,1287945205479452;8,2733609112030373
PARD 02010;;SP;-21,57222222;-46,83583333;CETESB;lotico;2;Rio Pardo - UGRHIs 4 e 12;101;2,21782178217822;2;5;2001-02-06;2017-12-05;0,540443528891587;0,292079207920792;16,8383835616438356;5,9982004585088537
PARD 02100;;SP;-21,62333333;-47,04333333;CETESB;lotico;2;Rio Pardo - UGRHIs 4 e 12;133;2,03007518796993;1;4;1996-01-09;2017-12-05;0,563267652940763;0,317270448849396;21,9205753424657534;6,0673589959267643
PARD 02400;;SP;-21,29222222;-47,48111111;CETESB;lotico;2;Rio Pardo - UGRHIs 4 e 12;12;2;2;2;2016-02-25;2017-12-12;0;0;1,7972876712328767;6,6767274889102301
PARD 02500;;SP;-21,1;-47,76222222;CETESB;lotico;2;Rio Pardo - UGRHIs 4 e 12;281;1,79359430604982;1;11;1978-01-01;2017-12-04;0,910314839082159;0,828673106253177;39,9507123287671233;7,0336668264525947
PARD 02600;;SP;-20,96611111;-48,02777778;CETESB;lotico;2;Rio Pardo - UGRHIs 4 e 12;263;2,09125475285171;1;20;1979-03-05;2017-12-04;1,79461651045177;3,2206484195861;38,7781095890410959;6,7821769237127853
PARD 02750;;SP;-20,61555556;-48,335;CETESB;lotico;2;Rio Pardo - UGRHIs 4 e 12;54;2,09259259259259;2;3;2009-04-06;2018-02-27;0,292582419835719;0,0856044723969252;8,9013972602739726;6,0664633226736760
PARD 02800;;SP;-20,45027778;-48,45416667;CETESB;lotico;2;Rio Pardo - UGRHIs 4 e 12;268;1,72014925373134;1;7;1978-01-01;2018-02-26;0,79325620599621;0,629255408351501;40,1808493150684932;6,6698440816554741
PARI 02700;;SP;-22,81666667;-50,31611111;CETESB;lotico;2;Rio do Pari;19;2,63157894736842;2;5;2015-01-12;2018-01-09;0,83069758608784;0,690058479532164;2,9945479452054795;6,3448641823954034
PARN 02100;;SP;-20,77777778;-51,62944444;CETESB;lentico;2;Rio Paraná;282;1,79787234042553;1;5;1978-01-01;2018-01-04;0,799196044887992;0,63871431816461;40,0356438356164384;7,0437233670544262
PARN 02900;;SP;-22,47666667;-52,95722222;CETESB;lentico;2;Rio Paraná;129;2,66666666666667;1;50;1996-07-24;2018-02-08;4,30358377789179;18,5208333333333;21,5589315068493151;5,9835989533626212
PARP 02100;;SP;-23,59111111;-48,49444444;CETESB;lotico;2;Rio Paranapanema;265;2,65660377358491;1;30;1978-09-01;2018-04-05;3,13566419393195;9,83238993710692;39,6192054794520548;6,6886752723357497
PARP 02500;;SP;-22,99833333;-49,9075;CETESB;lotico;2;Rio Paranapanema;132;2,3030303030303;1;6;1996-07-04;2018-05-15;0,780872422059284;0,609761739532732;21,8767397260273973;6,0338058436996322
PARP 02750;;SP;-22,66111111;-51,38833333;CETESB;lotico;2;Rio Paranapanema;281;2,0711743772242;1;14;1978-01-01;2018-02-20;1,27696139394535;1,63063040162684;40,1644109589041096;6,9962435223441185
PARP 02900;;SP;-22,59722222;-52,87444444;CETESB;lotico;2;Rio Paranapanema;129;2,50387596899225;1;38;1996-07-24;2018-02-08;3,22617234265253;10,4081879844961;21,5589315068493151;5,9835989533626212
PATO 02900;;SP;-21,32138889;-49,82222222;CETESB;lotico;2;Ribeirão dos Patos;58;3,79310344827586;2;9;2007-11-06;2018-01-09;2,14196680146644;4,58802177858439;10,1835890410958904;5,6954379998977673
PCAB 02100;;SP;-22,71083333;-47,32277778;CETESB;lotico;2;Rio Piracicaba;172;3,09302325581395;1;14;1978-01-01;2018-01-09;1,50731477270589;2,27199782401741;40,0493424657534247;4,2947022200696264
PCAB 02135;;SP;-22,6975;-47,38722222;CETESB;lotico;2;Rio Piracicaba;270;6,24444444444444;1;48;1979-01-03;2018-01-09;5,1978930055981;27,0180916976456;39,0438630136986301;6,9152993366785933
PCAB 02192;;SP;-22,68888889;-47,58277778;CETESB;lotico;2;Rio Piracicaba;282;4,75177304964539;1;25;1978-01-01;2018-01-10;3,21286565886352;10,3225057419045;40,0520821917808219;7,0408324503506051
PCAB 02220;;SP;-22,71222222;-47,64944444;CETESB;lotico;2;Rio Piracicaba;258;5,3953488372093;1;27;1980-01-03;2018-01-03;4,03760264164849;16,3022350918469;38,0274246575342466;6,7845772445408901
PCAB 02300;;SP;-22,69555556;-47,67194444;CETESB;lotico;2;Rio Piracicaba;100;7,45;2;19;2000-02-24;2018-01-03;3,45058917528089;11,9065656565657;17,8712602739726027;5,5955762753698063
PCAB 02800;;SP;-22,69194444;-47,7775;CETESB;lotico;2;Rio Piracicaba;294;5,63265306122449;1;28;1978-01-01;2018-01-03;3,74089407767489;13,9942885003831;40,0329041095890411;7,3439588393383251
